school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian
gp,f,18,u,gt3,a,4,4,at_home,teacher,course,mother
gp,f,17,u,gt3,t,1,1,at_home,other,course,father
gp,f,15,u,le3,t,1,1,at_home,other,other,mother
gp,f,15,u,gt3,t,4,2,health,services,home,mother
gp,f,16,u,gt3,t,3,3,other,other,home,father
gp,m,16,u,le3,t,4,3,services,other,reputation,mother
gp,m,16,u,le3,t,2,2,other,other,home,mother
gp,f,17,u,gt3,a,4,4,other,teacher,home,mother
gp,m,15,u,le3,a,3,2,services,other,home,mother
gp,m,15,u,gt3,t,3,4,other,other,home,mother
gp,f,15,u,gt3,t,4,4,teacher,health,reputation,mother
gp,f,15,u,gt3,t,2,1,services,other,reputation,father
gp,m,15,u,le3,t,4,4,health,services,course,father
gp,m,15,u,gt3,t,4,3,teacher,other,course,mother
gp,m,15,u,gt3,a,2,2,other,other,home,other
gp,f,16,u,gt3,t,,,,other,home,mother
gp,f,16,u,gt3,t,4,4,services,services,reputation,mother
gp,f,16,u,gt3,t,3,3,other,other,reputation,mother
gp,m,17,u,gt3,t,3,2,services,services,course,mother
gp,m,16,u,le3,t,4,3,health,other,home,father
gp,m,15,u,gt3,t,4,3,teacher,other,reputation,mother
gp,m,15,u,gt3,t,4,4,health,health,other,father
gp,m,16,u,le3,t,4,2,teacher,other,course,mother
gp,m,16,u,le3,t,2,2,other,other,reputation,mother
gp,f,15,r,gt3,t,2,4,services,health,course,mother
gp,f,16,u,gt3,t,2,2,services,services,home,mother
gp,m,15,u,gt3,t,2,2,other,other,home,mother
gp,m,15,u,gt3,t,4,2,health,services,other,mother
gp,m,16,u,le3,a,3,4,services,other,home,mother
gp,m,16,u,le3,a,3,4,services,other,home,mother
gp,m,16,u,le3,a,3,4,services,other,home,mother
gp,m,16,u,le3,a,3,4,services,other,home,mother
gp,f,,u,le3,a,3,4,services,other,home,mother
